,title,category,installs,score,description,reviews
com.app_scissorsandscotch.layout,Scissors & Scotch | Do Yourself a Favor,HEALTH_AND_FITNESS,50+,5.0,"“Welcome to the best part of your day. Unless you won the lottery or something. Then, we’re probably a close second.
Scissors & Scotch is the grooming experience every man deserves. With the S&S app, you can make the most of that experience. All from your phone, our app lets you:
● book your service
● meet our staff
● get shop hours and directions
● learn about memberships
● check out upcoming events
● see pictures and videos
● and video chat with celebrities like Ryan Reynolds.
Just kidding about that last part. We’re making sure you’re still with us.
Anyways, you know what to do next. We’ll have a drink waiting.”",[]
com.apprum.KetoMealRe,14 Day Keto Diet Meal Plan and Recipes,HEALTH_AND_FITNESS,50+,,"14 Day Keto Diet Meal Plan and Recipes
follows the ketogenic diet guidelines. It’s dairy-free and the vast majority of recipes are sweetener- free (sweeteners are optional). As always, I made this diet plan easy to follow and included Nutrition Fact for each meal and day. By following this plan, you won’t have to track your carb intake or other macro-nutrients. Apart from the diet plan itself, you will find useful tips and basic ketogenic diet guidelines.
Before I get to the diet plan I will outline the basic principles of the ketogenic diet. As long as you follow my plan you shouldn’t worry about your macronutrient intake. I’ve designed it with moderate fat loss in mind so daily calories are about 1,500 - 1,600 kcal. If you suffer from any health conditions make sure you consult any dietary changes with a health professional.
Features of Ketogenic Diet Plan:
‎Keto Calculator
Ketogenic Diet Menu Examples
Weekly Keto Menu Plans
Keto Diet Plan Menu
Keto Diet Plan Vegetarian
Keto Diet Plan for Men
Keto Diet Plan for Bodybuilders
Keto Diet Plan India
Keto Diet Plan Calculator
Download 14 Day Keto Diet Meal Plan and Recipes Android App Now!!",[]
com.avastudios.fitcalc,Fitness Calculator,HEALTH_AND_FITNESS,100+,5.0,"Fitness Calculator is easy and fun to use. You don't ever have to worry about the cooked food amounts you consume as a calorie tracker - since Fitness Calculator makes this step extra easy for you with one of our calculators. No that is not all! it simplifies many other steps too - including TDEE -, BMI - and BMR calculations, also it helps you to keep eye on how much water do you consume per day.
■ Food Calculator - The Food Calculator is specially made for people that need to hit their macronutrients on point, helping the individual to enter their food weight values(uncooked, cooked) and as a result get an answer how much of actual uncooked food they ate or should eat. - Hey, did you really think that this is it? No - we also have a built-in system that automatically detects the food name after saving and if we have it in our database.... your saved food will have a picture of that food*, cool huh?
■ BMI Calculator - is an attempt to quantify the amount of tissue mass (muscle, fat, and bone) in an individual, and then categorize that person as underweight, normal weight, overweight, or obese based on that value. This is also in the app, wow! You don't have to have paper & pen in hand to do the calculation - just type in the values in our app.
■ Progress Tracker & Body Fat Calculator - Body Fat Calculator helps an individual to roughly estimate his/hers Body Fat %, Lean Body Mass and Body Fat Mass. After Calculation Individual can save his/her progress and track it on the go.
■  TDEE - Your Total Daily Energy Expenditure (TDEE) is an estimation of how many calories you burn per day when exercise is taken into account. Ever wondered how many calories should you actually eat? - now is your chance.
■ BMR - The Basal Metabolic Rate (BMR) represents how many calories your body burns when at rest. Really even this calculator is in this app - yes, that is correct! Check how many calories your body burns at rest!
And most importantly - in Fitness Calculator you can do the calculations in both Imperial and Metric units, yes - we got you covered!
* - if any food is missing feel free to write us, so we can improve our food picture database.
Bugs, problems? Feel free to contact us via email: anderoav24@gmail.com
★★★★★- for the win!",[]
com.axel.breatheandrelax,Breathe and Relax,HEALTH_AND_FITNESS,5+,5.0,"Breathe and Relax, designed alongside a professional yoga and meditation instructor, is a tool to help guide your breathing. It features two distinct animations that take you through the four parts of the breath: inhalation, holding, exhalation, and pausing before restarting. Changing the ratio between these parts of the breath changes the way you act on your nervous system.
You can select from three preset breathing ratios, or modify them to your liking. You can also choose from several different colors and animations to customize your experience,  and select from a stopwatch or a timer to fully take control of your breathing.
Take a deep breath, and enjoy!",[]
com.barakatullah.ugfitbitflex2fitbitflex2,User Guide of Fitbit Flex 2,HEALTH_AND_FITNESS,100+,5.0,"Fitbit motivates you to reach your health and fitness goals by tracking your activity, exercise, sleep, weight etc. It is a solid fitness tracker for someone that wants to stay in shape. Fitbit Flex 2 is the slimmest wristband. It is Swim-Proof wristband. In this app, you will get Fitbit Flex 2 Manual & Tutorial, Tips and Tricks and many more. Get top tips to become the master of your Fitbit Flex 2.  Inside the app:
# Putting on Fitbit Flex 2
# Setting up Fitbit Flex 2
# Know Fitbit Flex 2
# Charging your tracker
# Automatic Tracking with Fitbit Flex 2
# Receiving Call and Text Notifications
# Updating Fitbit Flex 2
# Troubleshooting Fitbit Flex 2
# Fitbit Flex 2 General Info & Specifications
# Fitbit Flex Tips and Tricks
# Understanding Flex 2 LED notifications
# Pair Fitbit with the Amazon Echo
# Fitbit app Account tips and tricks",[]
com.barakatullah.ugfitbitionic,User guide of Fitbit Ionic,HEALTH_AND_FITNESS,100+,,"Fitbit motivates you to reach your health and fitness goals by tracking your activity, exercise, sleep, weight etc. It is a solid fitness tracker for someone that wants to stay in shape. Fitbit ionic is the smartest wrist watch. It is Swim-Proof wrist watch. In this app, you will get Fitbit Ionic user guide, manual & tutorial, Tips and Tricks and many more. Get top tips to become the master of your Ionic.  Inside the app:
# Inside the box of fitbit ionic
# Wear Ionic
# Change the wristband
# Setting up Fitbit ionic
# Know the basic
# Apps and Clock Faces
# Notifications
# Timekeeping
# Activity and Sleep
# Fitness and Exercise
# Music and Podcasts
# Fitbit Pay
# Weather info
# Restart, Erase, and Update
# Troubleshooting Fitbit ionic
# Fitbit Ionic Tips and Tricks
# Pair Fitbit with the Amazon Echo
# Fitbit app Account tips and tricks",[]
com.barakatullah.ugfitbitversa,User guide of Fitbit Versa,HEALTH_AND_FITNESS,100+,,"Fitbit motivates you to reach your health and fitness goals by tracking your activity, exercise, sleep, weight etc. It is a solid fitness tracker for someone that wants to stay in shape. Fitbit Versa is the smartest wrist watch. It is Swim-Proof wrist watch. In this app, you will get Fitbit Versa user guide, manual & tutorial, Tips and Tricks and many more. Get top tips to become the master of your Versa.  Inside the app:
# Wear Versa
# Change the wristband
# Setting up Fitbit versa
# Know the basic
# Apps and Clock Faces
# Notifications
# Timekeeping
# Activity and Sleep
# Fitness and Exercise
# Music and Podcasts
# Fitbit Pay
# Weather info
# Track food with Fitbit
# Restart, Erase, and Update
# Troubleshooting Fitbit versa
# Fitbit Versa Tips and Tricks
# Pair Fitbit with the Amazon Echo
# Fitbit Skill for Cortana
# Fitbit app Account tips and tricks",[]
com.binaural.meditation.sleep.sound,Binaural Beats & Meditation Sleep Sounds,HEALTH_AND_FITNESS,500+,3.0,"Do you Struggle to Sleep at Night? Searching for Relaxation sounds for sleeping free? Try this Binaural Beats & Meditation Sleep Sounds app to take back control of your sleep!  This app contains Sleep meditation, Relax, Binaural Beats, Sleep sounds & one of the most popular is that of white noise, which is known for its calming effects. This Music app allows you to create your own mixes, so you can choose the best sleeping sounds that you find the most sleep inducing. The sounds create a relaxed environment and aim to help you drift into a cyclical sleep pattern. Our sound app also has a sleep timer so the app turns off automatically. Best of all, it’s easy to use & FREE!
Those who struggle to sleep try this meditation app with different sleep sounds. There has been a great deal of research into which sounds will help us get to sleep. Whether it’s waves lapping at the shore, the sound of the wind or the hum of the washing machine, some sounds will make us feel soothed and relaxed and help us drift off to sleep, while others can make us feel on edge and annoyed, keeping us awake at night.
Binaural beats therapy is primarily used to treat anxiety and stress, although it may also improve concentration and motivation as well. Binaural beats therapy is an emerging form of sound wave therapy in which the right and left ears listen to two slightly different frequency tones yet perceive the tone as one that can create high impact brain waves that help in relaxation, deep sleep, stress relief and mind therapy. Binaural Beats & Meditation Sleep Sounds app has binaural beat related to the desired brain waves and experience the meditation, deep sleep, stress relief or relaxation. With this meditation app we can choose the different relaxing sounds with natural frequency matching that of our brain waves and experience a substantial increase in brain power, deep sleep and stress relief through relaxing sleep sounds.
Benefits of Binaural Beats & Meditation Sleep Sounds APP:
- Help In Stress Relief
- Deep Sleep
-Relaxation
- Mind Therapy
- Deeper Meditation
-Increased Focus
- Reduced Anxiety
- Improved psychomotor performance and mood
Features of Binaural Beats & Meditation Sleep Sounds APP:
- HD Sounds
- Relaxing Meditation Sounds
-Sleeping Sounds
- Nature & Forest Sounds
- Binaural Beats
- White Noise
-Brown Noise
- Pink Noise
- City Sounds",[]
com.bixbysamsungremaper.app,Tips for bixby Button Remapper - BixRemap,HEALTH_AND_FITNESS,500+,4.6,"Guide for bixby remapper isn’t perfect, but it’s slowly improving. bixby Voice still has limited language support; the app currently supports Korean and English languages, though Samsung promises we’ll see more in the future. However, if you speak English or Korean, you’ll be able to use the app in 200 countries
bixby’s ability to understand voice commands has improved exponentially over the last year. Its integration with third-party apps also allows bixby say's hello to better anticipate your needs and fulfill them with very simple voice commands. While it definitely is not as refined as Google voice Assistant or S voice bixby, the improvements are noticeable.",[]
com.bodybysimone,Body By Simone,HEALTH_AND_FITNESS,500+,4.6,"What do the hottest bodies in Hollywood have in common? The secret is in this at-home fitness app. Get the body you want and deserve with celebrity trainer Simone De La Rue and celebrity nutritionist Kelly LeVeque. The Body By Simone (BBS) app is going to redefine your lifestyle and the way you workout.
EXCLUSIVE AT-HOME FITNESS PROGRAM
Get access to the exclusive workout regime of Body By Simone, called “Hollywood’s Hottest Workout Empire” by Forbes and “The Girlfriend Workout” by the New York Times. The BBS app utilizes advanced artificial intelligence and decades of experience in fitness for you to become the best version of yourself, while keeping a smile on your face.
PERSONALIZED WORKOUTS, LIVE CLASSES, & FULL NUTRITION PROGRAM
The BBS app provides you with a personalized, AI generated workout program, as well as access to live classes at BBS studios and on-demand customizable workouts. You’ll also receive a 4-meal per day nutrition plan, either plant or protein based, for you to achieve your ultimate lifestyle goal.
KEEP TRACK OF YOUR PROGRESS
Keep track of your measurements and take selfies to see your progress. Enjoy exercising at home and have your own online personal trainer right there in the palm of your hands.
This app is the one-stop shop for living a healthy life. Instead of going to the gym, experience BBS from the comfort of your own home. Change the way you exercise at home and start living a more fulfilling life.
Start using the best home workout app for FREE and enjoy!
APP SUPPORT
Download Body By Simone and let us know about any bugs, questions, feature requests or any other suggestions. Contact us at appsupport@bodybysimone.com.
PREMIUM SUBSCRIPTION PRICING AND TERMS
The app is free to create 10-minute custom workouts but personalized workouts, full nutrition program, live classes, and the full video library can be unlocked with a Premium Subscription for a monthly fee of USD 19.99.
The BBS App Terms of Service and Privacy Policy can be found at https://www.bodybysimone.com/bbs-app-terms-and-conditions/",[]
com.cambiahealth.ProjectCharli,Project Seamless,HEALTH_AND_FITNESS,500+,5.0,"Welcome to your one-stop, go-to health and well-being guide where technology meets compassion. Navigate your personal health care journey with ease, so you can focus on what matters most—living a healthy life.
Project Seamless can help you:
_ Organize your health care from docs to meds
_ Manage your loved ones' care
_ Keep track of your prescriptions
_ Stay on top of health-related finances
_ Connect to real-time resources and services a click, call or tap away
_ Get support and advocate for you when you need it most",[]
com.caretraxx.visitraxx,VisiTraxx,HEALTH_AND_FITNESS,50+,5.0,"VisiTraxx makes it easy for caregivers to manage their home care visits.  Simple, easy to use features include:
- see your upcoming visit schedule
- easily check in for a visit with a single tap
- record tasks performed during the visit
- make observations about changes in your client's condition
- get help from your agency office via secure chat
- and more...",[]
com.cc.bloodworks,Bloodworks App,HEALTH_AND_FITNESS,100+,1.0,"Meet the new Bloodworks App. Lifesaving power in your palm. Sign up to give blood wherever, whenever. Personal profile and alerts help you see where you’re needed. And how many people you’ve helped. It only takes a couple taps to make a difference. Join a group to cheer on fellow donors. Choose how and when you hear from us. After you’ve donated, learn your blood type and whose life you’ve changed. Learn about the latest donor perks.
Features:
•  The Bloodworks App makes it easy to make a difference. Schedule a blood donation in just couple taps, anytime, anywhere. Map feature makes it easy to find a center or blood drive near you. Tap the blood drop icon at the bottom of the home screen to get started.
•  Track your community impact with the Bloodworks App. See your blood type and donation history, and find out when you’re eligible to give again. Tap the profile icon at the bottom to see your personal dashboard.
•  Feel like you’re part of something bigger. Form or join groups to cheer on friends and colleagues and compete to reach new donation milestones. Inspire others to join your lifesaving efforts.
•  See your donation in action. Get updates when it’s been delivered and read about real patients affected by Bloodworks donors. Turn on push notifications under settings.
•  Coming soon: Phone calls not your thing? No problem. You control your settings to choose how and when you hear from us. Tap on notifications to customize your contact preferences.
•  Perks of Giving. Swipe through the home page banners to learn about the latest donor perks, promotions, events. Plus, read personal stories of impact and donation facts.
Learn more about the Bloodworks Northwest at www.BloodworksNW.org",[]
com.diary.periodtracker,Period Diary,HEALTH_AND_FITNESS,"5,000+",3.9,"Period Diary is the best menstrual app to help you track the period time , the date of ovulation and the chances of pregnancy ; it can even help female who have a pregnancy plan and try to control their fertility;
Period Diary is useful, whether you have irregular periods or regular periods. We also provide a recording function where you can record your BMI, sexual activity, weight, body temperature, symptoms or mood, think of it as your personal period diary, use Period Diary as a menstrual calendar. We always focus on female's health
Discreet reminders keep you informed and prepared for upcoming periods, ovulation, and fertile days.
The calendar is great at predicting fertility, ovulation and periods. The app adapts to your cycle history and accurately predicts the key days that interest you.
Take care of yourself ~
-  Use Period Diary to:
-  Helps predict menstruation, cycles and ovulation
-  Get reminders before your next period time
-  Notifications for your period and ovulation
-  Analyze your current and past cycles with the menstrual tracker
-  Check your cycle period and ovulation
-  Record moods , symptoms , BMI, sexual activity , body temperature
-  Record healthy habits
-  Analysis of your current and past menstrual cycles,
along with an overall average, to easily observe trends
-  Pregnancy probabilities predict to help you plan or avoid for pregnancy.
Period Diary provides useful reminder, accuracy forecast, accuracy period and ovulation track .Want to know when your next period is coming? Want to take your birth control pills in time? With this female period tracker, ovulation calculator and fertility calendar it's easy to keep track of your menstrual cycle.
Disclaimer: Forecast accuracy depends on a number of factors including how regular one's cycle length is, when one actually ovulates during the cycle, and how many periods have been logged in the app. Anxiety, stress, moods, diet, nutrition, exercise, environment, medications, age and other factors can also affect one's cycle from month to month. So Log more symptoms to get improved period predictions if you have irregular periods.
**Wants more ? **
Facebook: https: //www.facebook.com/Mariatracker-704064859927139/
Twitter: https: //twitter.com/DiaryPeriod",[]
com.dnt.fitness.absworkout,Six Pack Abs Workout- No equipment Home Workout,HEALTH_AND_FITNESS,"1,000+",4.9,"Are you male? Do you want a beautiful body with six-pack abs? Want to be beautiful to be successful in life and work? Start exercising your abs muscles with an extremely effective abdominal exercise program that we have tried to build. The exercises in our application range from easy to difficult, easy to practice at home or anywhere, extremely easy and convenient. Just spend some time practicing every day with this application you can get healthy and beautiful body as you desire!
Workout plan from hard to easy
Our application builds on three easy, medium and advanced levels, which are harder to grow on a daily basis, helping you lose belly fat and build up your abdominal muscles step by step. Whether you are a beginner or a professional apprentice, you can use our app.
28 day and daily Plan
We build applications with 28-day and daily plans. Suitable for everyone's workout preferences. Difficulty leveling up day by day and level. All our exercises help you build an extremely powerful abdominal, professional training mode with easy-to-grasp 3D video tutorials even if you are a beginner.
Video illustrations
Our abdominal exercises are illustrated with high quality 3D video to help you understand and grasp the exercises quickly and effectively. The sharp and intuitive 3D video helps you to build the abdominal muscles step by step, safely and effectively.
Feature:
• 28-day pathway for six-point abdominal muscle with three levels of beginner, intermediate, advanced
• Daily Routine for your long-term abdominal musculature plans, you can do it at any time and with no time limit.
• Increased intensity from easy to hard
• Reminds exercise every day, or weekly
• Automatically save workout history
• Weight-tracking chart
• Suitable for all ages and people",[]
